backend,seed,run_name,iteration,mean_reward,train_wall_s,total_fps
physx,0,physx_s0,0,-0.562590,0.0000,35964.0
physx,0,physx_s0,1,-0.834922,0.3490,144230.0
physx,0,physx_s0,2,-1.397632,0.6996,141853.0
physx,0,physx_s0,3,-1.896685,1.0481,142716.0
physx,0,physx_s0,4,-2.384995,1.4014,140699.0
physx,0,physx_s0,5,-2.665857,1.7542,140889.0
physx,0,physx_s0,6,-2.900459,2.1095,140234.0
physx,0,physx_s0,7,-3.318476,2.4762,138072.0
physx,0,physx_s0,8,-3.365950,2.8115,148254.0
physx,0,physx_s0,9,-3.649401,3.1506,146606.0
physx,0,physx_s0,10,-3.823272,3.4926,145139.0
physx,0,physx_s0,11,-4.004621,3.8373,144059.0
physx,0,physx_s0,12,-3.954775,4.1814,144294.0
physx,0,physx_s0,13,-4.108127,4.5155,148844.0
physx,0,physx_s0,14,-4.004113,4.8603,144064.0
physx,0,physx_s0,15,-4.325737,5.2030,144975.0
physx,0,physx_s0,16,-4.650609,5.5471,144355.0
physx,0,physx_s0,17,-4.675104,5.8785,149885.0
physx,0,physx_s0,18,-5.380168,6.2163,147021.0
physx,0,physx_s0,19,-5.557279,6.5487,149745.0
physx,0,physx_s0,20,-4.851861,6.8818,149259.0
physx,0,physx_s0,21,-5.398917,7.2206,147008.0
physx,0,physx_s0,22,-5.562991,7.5868,138017.0
physx,0,physx_s0,23,-5.663613,7.9410,140287.0
physx,0,physx_s0,24,-5.876229,8.2743,149230.0
physx,0,physx_s0,25,-5.809422,8.6064,149691.0
physx,0,physx_s0,26,-6.021521,8.9467,145995.0
physx,0,physx_s0,27,-5.706977,9.2886,145338.0
physx,0,physx_s0,28,-6.109691,9.6345,143609.0
physx,0,physx_s0,29,-6.012583,9.9716,147502.0
physx,0,physx_s0,30,-5.184804,10.2998,151267.0
physx,0,physx_s0,31,-5.282393,10.6331,149087.0
physx,0,physx_s0,32,-5.576814,10.9688,148082.0
physx,0,physx_s0,33,-6.151028,11.3124,144792.0
physx,0,physx_s0,34,-6.493186,11.6642,141151.0
physx,0,physx_s0,35,-6.102763,12.0058,145538.0
physx,0,physx_s0,36,-6.052318,12.3432,147174.0
physx,0,physx_s0,37,-5.956520,12.6891,146250.0
physx,0,physx_s0,38,-5.723946,13.0183,150944.0
physx,0,physx_s0,39,-5.294873,13.3530,148520.0
physx,0,physx_s0,40,-5.141881,13.6840,150162.0
physx,0,physx_s0,41,-5.596790,14.0303,143350.0
physx,0,physx_s0,42,-6.083356,14.3676,147335.0
physx,0,physx_s0,43,-5.032571,14.6910,153767.0
physx,0,physx_s0,44,-4.985561,15.0164,152791.0
physx,0,physx_s0,45,-4.673176,15.3520,148115.0
physx,0,physx_s0,46,-2.782036,15.6819,150711.0
physx,0,physx_s0,47,-1.794730,16.0118,150775.0
physx,0,physx_s0,48,-1.557067,16.3413,150906.0
physx,0,physx_s0,49,-0.725334,16.6705,151005.0
physx,0,physx_s0,50,-1.724671,16.9939,153701.0
physx,0,physx_s0,51,-1.566784,17.3223,152297.0
physx,0,physx_s0,52,-1.011477,17.6501,151547.0
physx,0,physx_s0,53,-0.238865,18.0065,139395.0
physx,0,physx_s0,54,0.377441,18.3634,139071.0
physx,0,physx_s0,55,1.234972,18.7019,146741.0
physx,0,physx_s0,56,1.231647,19.0410,146453.0
physx,0,physx_s0,57,0.874251,19.3738,149359.0
physx,0,physx_s0,58,2.061053,19.7058,149740.0
physx,0,physx_s0,59,1.104076,20.0463,145825.0
physx,0,physx_s0,60,1.675223,20.4022,139640.0
physx,0,physx_s0,61,3.001816,20.7398,147186.0
physx,0,physx_s0,62,2.876310,21.0727,149211.0
physx,0,physx_s0,63,2.138751,21.4152,144975.0
physx,0,physx_s0,64,1.552938,21.7542,146560.0
